Year,investmentGoal,investmentActual,asset,liability,netProfit,rnd,staffFee,toState,longTermDebt,staffNum,effSpending,effInvestment,ebitdaPerStaff,expensePerStaff,roa,roe
2559,222458.709,183718.8489,3178003.24,2270582.656,97438.39844,767.96192,1101.799015,74854.648,556507.5691,170706,82.58559519,37.78506531,1.540743965,0.582319555,5.221026877,10.73795316
2560,232375.0784,182445.1553,3284988.044,2305942.176,134942.0804,896.2775,1222.157834,62381.476,543701.8767,172276,78.51321948,29.09222791,1.761374361,0.585651166,6.162132922,13.78301929
2561,247944.1607,201060.0141,3402492.589,2378566.14,94131.46081,911.0913,1584.607832,55594.563,564620.5265,170560,81.09084464,28.35877512,1.533767066,0.5948448,4.612729909,9.193185726
2562,260204.0021,196633.9816,3518045.378,2465096.869,77141.84067,1159.108822,1697.296454,56062.97835,638575.4111,172735,75.56916112,29.21067407,1.42106843,0.623626199,3.925167173,7.326269044
2563,253778.9093,193646.402,3661367.715,2587075.61,50560.72394,819.3997587,760.7886446,38685.05253,729970.6465,171758,76.3051597,33.51514238,1.269956674,0.594764915,2.823035938,4.706422337
2564*,235520.2352,231401.9361,3751631.942,2636781.318,62193.83989,1924.983031,1642.978069,42354.12954,803677.0576,173401,98.25140328,49.46404022,1.367029447,0.597772282,3.163105822,5.57866979
2565*,257479.2021,257479.2021,4066568.931,2909775.754,65171.3977,1382.9267,1908.470928,43624.2483,885605.5267,171357,100,100,1.454312616,0.610084452,3.072284265,5.633798627
2566*,441743.3573,441743.3573,4468204.123,3266513.549,70968.03304,1911.076091,1030.288384,40525.81817,1064981.044,167623.2,100,100,1.63409469,0.630842563,3.086161555,5.905682817
2567*,447553.7159,447553.7159,4901491.645,3654277.925,83993.82411,1987.804353,1089.24566,43366.62831,1248484.428,164714.64,100,100,1.832788007,0.655993545,3.229551165,6.73451725
2568*,397561.2455,397561.2455,5321909.4,4026316.958,93203.46656,2147.665816,1160.726702,47324.17377,1375615.521,161451,100,100,1.998356675,0.683657088,3.23690744,7.193886087
